"	text",EMO,,
"	ซิงเกิ้ลเกทเวย์ไม่น่ากลัวเท่าซิงเกิ้ลออลเวย์สหรอก",fear,,
"	ไม่ต้องมาถามว่าประชาชนว่ากลัวอะไร รัฐบาลคุณนั้นแหละ กลัวอะไรกัน ทำไมต้องปิดหูปิดตาประชาชน #พรบคอม",fear,,
"	""เจอวลี """"กลัวอะไรถ้าเปนคนดี"""" นี่เงิบไปสามตลบ แกรเข้าใจคำว่า privacy ไหม มันไม่เกี่ยวกับผิดไม่ผิด จะดีจะเลวก็ไม่ต้องการให้ใครรู้ไง #พรบคอม""",fear,,
"	""เกิดมาเพิ่งเคยเห็นนกพิราบพากันมายืนผิงไฟเพราะความหนาว แล้วบางตัวยืนใกล้ไฟมากแบบไม่กลัวขนไหม้กันเลย",fear,,
"	""ถ้าถามประชาชนว่า """"ไม่ได้ทำผิดแล้วจะกลัวอะไร"""" ขอถามกลับบ้างค่ะ """"แล้วถ้าในสิ่งที่ประชาชนพูดไม่ใช่เรื่องจริงจะกลัวทำไม"""" ? #พรบคอม""",fear,,
"	เราบริสุทธิ์นะ ที่กลัวคือคนที่เข้าถึงข้อมูลเราได้นี่แหละ บริสุทธิ์แค่ไหนกัน คนบริสุทธิ์ทั่วไปจะอยากเข้าถึงข้อมูลคนอื่นไปทำไม หื้มม?  #พรบคอม",fear,,
"	ขอถามแบบโง่ๆนะ เค้าทำไปเพื่ออะไรวะ เหมือนคนที่คอยสอดส่องทุกเรื่องเพราะกลัวโดนคนอื่นนินทาเลยอะ จะเพิ่มงานตัวเองทำไมวะ",fear,,
"	""อยากบอกทุกคนว่า """"อย่ากลัว"""" เพราะความกลัวของเราจะทำให้อำนาจของเขาเข้มแข็งขึ้นเรื่อยๆ เราทำอะไรได้มากกว่าที่คิดนะ… https://t.co/lCWyqatA9S""",fear,,
"	ต้านพรบคอมไม่ได้แค่เพราะกลัวอ่านฟิคอ่านวายไม่ได้ปะ มันคือหนึ่งในส่วนที่จะโดนจำกัด แล้วข้อเสียมันก็มีมากกว่านี้เยอะ ไม่ได้เอาข้อนี้เป็นหลัก",fear,,
"	เพื่อนขึ้นลิฟท์ที่ตึกสินสาดท่าพระจันทร์คนเดียว ดูที่มันเจอดิ คือนี่ไม่เจอเองยังกลัว ???????? (ตั้งแต่ตุลาแล้วนะ) http://t.co/BHF4KHclGG",fear,,
"	จะไปอยู่นอกโลกค่ะ โลกนี้มันน่ากลัวเกินไป",fear,,
"	""ตระกะ """"ไม่ทำผิดและจะกลัวอะไร"""" และ #พรบคอม ใหม่ มันก็เหมือน """"ไหนขอกุญแจบ้านหน่อย จะเข้าไปดู ไม่มีของผิดกฎหมายจะกลัวอะไร"""" #เราไม่โอเค""",fear,,
"	ต่อให้คุณค้าน #พรบคอม เพราะกลัวจะเล่นทวิตไม่ได้เป็นติ่งไม่ได้ หรือจะค้านเพราะมันกระทบทั้งสังคม เหตุผลทั้งสองแบบก็มีความชอบธรรมเหมือนกัน",fear,,
"	""อ่านละเอียดอีกที น่ากลัวมาก:",fear,,
"	ปัญหาหนึ่งที่ผู้ให้บริการเน็ตระดับโลกไม่มาตั้ง สนง.ในไทย แต่เลือกสิงค์โปร์ หรือ ฮ่องกงแทน เพราะมาจาก พรบ.คอมพ์ ที่กว้างขวางจนเขากลัว",fear,,
"	กูไม่กลัวนักเขียนที่เก่ง แต่กลัวนักเขียนที่ขยัน กูจำคำพูดนี้ของตัวเองได้ดี",fear,,
"	ขอบคุณมากเเต่บางทีกุก็กลัว555",fear,,
