ฉันคิดถึงเธอ อยากรู้ว่าเธอเป็นอย่างไร ให้แน่ใจว่าดีกว่าอยู่กับฉัน,anticipation
"""ตักฉันไม่ใช่เบาะรองก้นเธอนะ""
Chapter 19 [27%] #ดาร์คไลท์
&gt;&gt; https://t.co/SkrrUgUF8m https://t.co/W02Ujp8UXa",angry
"1) ฉันตื่นขึ้นมา
2) ไปโรงเรียน
3) ฉันเห็นเธอ
4) ฉันวิ่งไปที่เธอและกอดเธอ
5) ฉันจูบเธอ

จริงๆที่ถูกต้องคือ  2,3,4,5,1",joy
@mookeyore รู้จ้า..รักเธอคนเดียว,joy
"🎼 อยากให้ดาวดวงนั้นรู้ว่า เมื่อดาราส่องแสงฉันดูสดใส
อยากให้ดาวดวงนั้นเข้าใจ ขาดเธอไปตัวฉันคงหมดสิ้นกัน -ก้อนหินละเมอ 🎶",anticipation
หลับตาฉันพร้อมดูแลอย่างดี,joy
ครั้งใดที่เริ่มคิดถึง ฉันจะเตือนตัวเองด้วยความใจร้ายของคุณเสมอ....,fear
ยิ่งฉันไม่รู้ฉันยิ่งต้องทำให้ดีที่สุดด้วยหัวใจ,joy
เคยคิดเคยรังเกียจฉัน...รึเปล่า😢😢😢,disgust
@jomlfc ใช่ แต่หล่อนรู้หรอว่าฉันเจอใคร,sadness
แค่เท่านี้ที่ใจของฉันมี,acceptance
แกกกกก มันดี แพคเกจมันน่ารักมากกกกก สีก็น่ารักกกก แถมแอบทนด้วยนะะ บับงื่ออออ ฉันชอบความน่ารักของมันน💕💕💕… https://t.co/SbgkYvDNrh,joy
@upisdn @t00_far บิชอป ฉันให้นาย รูปละสามปอนด์ /จากน้องส้ม,joy
"""คราวนั้นฉันนิ่งเฉยจนทำให้คนคนนึงหายไป จนกระทั่งฉันได้เริ่มใหม่จึงพยายามทำทุกอย่างให้เขารับรู้ความรู้สึกของฉันแต่น่าตลก เพราะเขาก็ไปอยู่ดี""",sadness
ไม่ใช่แค่ฉัน,anticipation
ฉันสุ่มเซอร์วิสที่ขอกันมาแล้ว... ตามนี้ อย่างละ 1 วัน ส่วนจะเริ่มวันไหนและอันไหนก่อน ฉันขอเวลาคิดก็แล้วกัน ...ช่วง… https://t.co/CBe37e6yR9,anticipation
ใครเข้าใจงานอิ๊บ้าง บอกฉันที แง้,sadness
overreactingแต่แบบ ฉันไม่อยากทำำำำำ,disgust
