ฉันคิดถึงเธอ อยากรู้ว่าเธอเป็นอย่างไร ให้แน่ใจว่าดีกว่าอยู่กับฉัน,,,,,,,,,3,7
"""ตักฉันไม่ใช่เบาะรองก้นเธอนะ""
Chapter 19 [27%] #ดาร์คไลท์
&gt;&gt; https://t.co/SkrrUgUF8m https://t.co/W02Ujp8UXa",,,,,,,anticipation,,0,4
"1) ฉันตื่นขึ้นมา
2) ไปโรงเรียน
3) ฉันเห็นเธอ
4) ฉันวิ่งไปที่เธอและกอดเธอ
5) ฉันจูบเธอ

จริงๆที่ถูกต้องคือ  2,3,4,5,1",,,,,,,,,3,1
@mookeyore รู้จ้า..รักเธอคนเดียว,,,,,,,,,3,1
"🎼 อยากให้ดาวดวงนั้นรู้ว่า เมื่อดาราส่องแสงฉันดูสดใส
อยากให้ดาวดวงนั้นเข้าใจ ขาดเธอไปตัวฉันคงหมดสิ้นกัน -ก้อนหินละเมอ 🎶",,,,,,,,,3,7
หลับตาฉันพร้อมดูแลอย่างดี,,,,,,,,,3,1
ครั้งใดที่เริ่มคิดถึง ฉันจะเตือนตัวเองด้วยความใจร้ายของคุณเสมอ....,,,,,,,anticipation,,0,3
ยิ่งฉันไม่รู้ฉันยิ่งต้องทำให้ดีที่สุดด้วยหัวใจ,,,,,,,,,3,1
เคยคิดเคยรังเกียจฉัน...รึเปล่า😢😢😢,,,,,disgust,,,,1,
@jomlfc ใช่ แต่หล่อนรู้หรอว่าฉันเจอใคร,,,,,,,anticipation,,0,2
แค่เท่านี้ที่ใจของฉันมี,,,,,,,anticipation,,0,8
แกกกกก มันดี แพคเกจมันน่ารักมากกกกก สีก็น่ารักกกก แถมแอบทนด้วยนะะ บับงื่ออออ ฉันชอบความน่ารักของมันน💕💕💕… https://t.co/SbgkYvDNrh,,,,,,,anticipation,,0,1
@upisdn @t00_far บิชอป ฉันให้นาย รูปละสามปอนด์ /จากน้องส้ม,,,,,,,,,3,1
"""คราวนั้นฉันนิ่งเฉยจนทำให้คนคนนึงหายไป จนกระทั่งฉันได้เริ่มใหม่จึงพยายามทำทุกอย่างให้เขารับรู้ความรู้สึกของฉันแต่น่าตลก เพราะเขาก็ไปอยู่ดี""",joy,,,,,,anticipation,,2,2
ไม่ใช่แค่ฉัน,,,,,,,,,3,7
ฉันสุ่มเซอร์วิสที่ขอกันมาแล้ว... ตามนี้ อย่างละ 1 วัน ส่วนจะเริ่มวันไหนและอันไหนก่อน ฉันขอเวลาคิดก็แล้วกัน ...ช่วง… https://t.co/CBe37e6yR9,,,,,,,anticipation,,1,
ใครเข้าใจงานอิ๊บ้าง บอกฉันที แง้,,,,,,,,,3,2
overreactingแต่แบบ ฉันไม่อยากทำำำำำ,,,,,,,,,3,5
ฉันอยากจะมี 'แบมแบม' ไว้ในชีวิต เพราะถ้าฉันระบายเรื่องไม่สบายใจกับเขา เขาก็จะบอกให้ Dabมันออกไปซะ // น่ารักดี555555… https://t.co/GhjkTSvPUA,joy,,,,,,,,1,
แฟนมึงไม่ได้ชื่อออมมึงบอกเอง🙈,,,,,,,,,3,4
@buajung0407 แม่นี่ลูกมึงเอง,,,,,,,,,3,4
ก็ร้องไห้เพราะมึงอ่ะยังจะยืนมองอีก บ้าป่ะ,,,,,,,,,3,2
@aommanii เออ พนเลย มึงจาโทใช่ปะ,,,,,,,,,3,7
จะแซะก็เรื่องของกูมะ5555 มึงเห็นแล้วโกรธก็เรื่งของมึง55555,,,,angry,,,anticipation,,2,1
@P_CY___xx มึงก๊อปคำตอบกู!,,,,,,,,,3,4
มีความสุขก็ทำ แต่ความสุขมึงไม่ใช่กู,joy,,,,,,,,0,4
นี้มึงยังเด๋อเรื่องยอดวิวอยู่หรอจ๊ะ #antitwice https://t.co/3ErqTE7mYk,,,,,,,anticipation,,1,
มึงว่ามันจะมีจริงหรอวะที่ไม่ได้รักกันที่หน้าตา,,,,,,,anticipation,,1,
@mykwnx ถูกมึง ผมร่วง แต่ผมยาวแม่งก็ดีไม่ต้องมานั่งห่วงรวบปึ้ปสวยปั๊ปงี้,,,,,,,,acceptance,1,
@kaixshun อีจี้มึงนี่กวนตีน,,,,,,,,,3,4
มีอะไรบ้างไหม ที่ฉันไม่ต้องรอ,,,,,,,anticipation,,1,
โลกฉันมีแค่เธอ,,,,,,,,,3,1
ฉันเป็นของของเธอ คู่แท้ที่หากันเจอ~,,,,,,,anticipation,,0,1
ฉันรักเขา💙#exolselcaday https://t.co/CkftGGsahn,,,,,,,,,3,1
โปรดเถอะ โปรดเข้าใจ ยกโทษให้ฉันได้ไหม,,,,,,,,,3,7
@newishappyyyy ทิ่มยิ่งกว่าคือเดินออกมาจากห้องน้ำเเล้วป้ะ! ตึ้งโป้ะ! โอ้โห! เธอมาอยู่ที่นี่ได้อย่างไร,,,,,,,,,3,6
เธอเคยบอกเราว่าเราเป็นคนดี แต่ดันเจอคนเลวแบบเธออ้ะ!!.เราไม่ได้คิดแบบนั้นนะ แต่เรารู้สึกว่าเราโชคดี ที่ครั้งนึงเราได้รักเธอ... เราคิดแบบนี้,,,,,,,,,3,1
ถึงภาพจะไม่ชัดแต่ความรักที่เรามีให้เธอมันโคตรจะชัดเลยนะเว้ย //ชุ้นรักเขา กริ๊สสส https://t.co/ysuI3LUrLB,,,,,,,,,3,1
อาจจะเป็นรักโง่ๆในสายตาเธอก็ตาม,,,,,,,,,3,7
อยากได้ตัวเองเมื่อ 5 ปีที่แล้วกลับมา ช่วยกลับมาใช้ชีวิตแทนเราในตอนนี้ได้ไหม เธออาจจะมีความสุข ถ้าเธอได้มาใช้ชีวิตในวัยใกล้ 20 ของเรา,joy,,,,,,anticipation,,2,7
โอ๊ยยย แบค เธอเป็นคนแบบนี้ตั้งแต่เมื่อไหร่!!! เป็นชุ้นก็ยอมให้ปล้ำใหม่เหมือนกัน 5555 #เพื่อนพี่ชายโหดหื่น https://t.co/hKIdrmdsj3,,,,,,,,acceptance,1,
มึงบอกชีวิตประจำวันของมึงก่อนเจอกู 5555 โอเคทำไปเลย ต่อไปก็จะไม่มีกูอีกแล้วว,,,,,,,anticipation,acceptance,2,8
