ครึ่งแรกผ่านไป เป็นยังไงกันบ้างครับ มาคุยกันหน่อย ??,,,,,,,,,3,7
การไปเป็นเพื่อนครั้งนี้ ประสบการณ์ชีวิตสาสสสส กูเจอตำรวจถามเมาป่าว เกือบโดนละไง ไปครั้งนี้ไปเก็บเพื่อนคะ,,,,,,,,,3,1
ต้องกลับมาให้ได้ มาเน่ มาเถอะะะะ  โอริกี้ไปไหนนนัดนี้,,,,,,,,,3,7
ท่านสนใจไปสารภาพบาปกับข้ามั้ย *ยิ้ม*,,,,,,,,,3,1
เคยกลัวบางสิ่ง กลัวบอกความจริงเค้าไปแล้วจะกลายเป็นฝันร้าย,,,,,,,,,3,8
พาครอบครัวไปพักผ่อนครับ https://t.co/vg5fqqSvnt,,,,,,,,,3,1
ลืมไปแล้วว่าเคยมี #โอบกัน 😂😂😂,,,fear,,,,,,0,1
รู้สึกดิสเจอรี่นี่ประทานพอร์นทุกวัน /วาดไปร้องไห้ไป,,,,,,,anticipation,,0,2
"เรามีสิทธิ์เลือกไหม
เลือกที่จะอยู่กับคนๆนี้ต่อไป",,,,,,,,,3,2
เป็นความสุขที่สุดของเรา และเป็นความเศร้าของเราในที่สุด,,,,,,,,,3,1
@n0412x #FebruaryWish ขอให้เป็นเดือนที่ดีมากๆนะคะคุณ✊ เรารู้ว่าเดือนนี้เป็นวันเกิดคุณด้วยใช่ไหม👀 มีแต่ความน่ารักเข้ามาในเดือนนี้นะคะ🐰🍀,joy,sadness,,,,,,,2,7
อืม เราแค่หวังว่ามันจะเป็นครั้งสุดท้ายสักที,,,,,,,anticipation,,0,7
เธอเข้าใจปะว่าแบบคือแบบบางครั้งก็แฮปปี้บีอิ้งอะโลน แต่แบบทั้งยังใช้ชีวิตนี้อยู่ อะไรจะมาทดแทนเขาได้วะ ถามหน่อย เออย้อนแย้ง,,,,,,,anticipation,,0,4
คิดถึง bluesea อยากกลับไปคิดว่าตัวเองเปนนางเงือกอีก 5555555555,,,,,,,anticipation,,0,1
"เกิดมาหน้าตาอัปปรีย์
จะไปบอกชอบใครเขาแต่ละที
ก็กลัวว่าเขาจะตกใจตาย
😂😂😂
#กูเลยอยู่โสด
#สบายใจกว่า
#ไม่อยากทำใครตกใจตาย
#ทีมแอบชอบใจต้องแข็ง",,,,,,,,,3,8
ต่อไปนี้จะเห็นแก่ตัวบ้างล่ะ เวลาต้องการความช่วยเหลือกูช่วยจนกุไม่คิดว่าตัวเองจะมีหรือไม่มี แต่พอเวลากูต้องการความช่วยเหลือไม่เห็นมีหมาสักตัว,joy,,,,,,,,0,4
ถ้าได้เดินไปข้างหน้า จะไม่มีวันถอยหลังสักครั้งเดียว https://t.co/L7CA4LFoTL,,,fear,,,surprise,,,2,7
เพราะน้องมันรู้....ว่ายังไงฮยองคงไม่ทิ้งน้องไปแน่ คอยดูแลจนถึงทุกวันนี้ไง  ㅠㅠ อยู่ดูแลกันไปนานๆ นะ #MarkBam https://t.co/u0ggX9VUaU,,,,,,,,,3,7
นอนไปกับหูฟังจนเจ็บหูแล้วอ่ะ T-T,,,,,,,,,3,2
อยากไม่อยากให้เขาไปทำแบบนั้นกับใคร ง่ายๆคือหวงแต่แฟนเก่าไม่มีสิท,,,,,,,anticipation,,0,8
นี่จะไปทำบุญให้ลิเวอร์พูลแล้วนะ พูดจริงจังเลย,,,,,,,,,3,7
รอไปคอนพี่ว่าน,,,,,,,,,3,7
ไปตามอ่าน #ขอนั่งด้วยได้ไหมครับ มา น่ารักมากกก /ตะกุยพนัง,,,,,,,,,3,7
จะจีบใครให้ชวนไปติวหนังสือ,,,,,,,anticipation,,1,
ถ้าพยายามแล้วมองข้ามถ้าเราไปไม่ต้องมารั้ง,,,,,,,,,3,4
เมื่อเราไปร้องคาราโอเกะตอนแรกก็ร้องปกติพอมีคนที่รักมาให้กำลังใจ เราก็เกิดอาการณ์ฮึกเหิมอยากโชว์พลังเสียงให้เขาดูอิน… https://t.co/DWyyvkkNej,,,,,,,anticipation,acceptance,2,7
ชอบเพลงไม่รู้จักฉันไม่รู้จักเธอท่อนนี้อ่ะมีความละมุนมีความฟินมีเขินมีอบอุ่นเเละเข้ากันของเสียงทุเรียนกะโพนี่อ่ะฮื่อ… https://t.co/EaTD0IVqyA,,,,,,,,,3,7
แต่เธอไม่ต้องการหรอก  😥,,,,,,,,,3,2
